attack,eps_255,steps,alpha_255,AUC_clean,AUC_adv,AUC_drop
FGSM,0,0,0,1.0,0.75,0.25
PGD5_a2,0,5,2,1.0,0.75,0.25
PGD10_a2,0,10,2,1.0,0.75,0.25
PGD20_a2,0,20,2,1.0,0.75,0.25
FGSM,2,0,0,1.0,0.75,0.25
PGD5_a2,2,5,2,1.0,0.5,0.5
PGD10_a2,2,10,2,1.0,0.5,0.5
PGD20_a2,2,20,2,1.0,0.5,0.5
FGSM,4,0,0,1.0,0.75,0.25
PGD5_a2,4,5,2,1.0,0.5,0.5
PGD10_a2,4,10,2,1.0,0.5,0.5
PGD20_a2,4,20,2,1.0,0.5,0.5
FGSM,6,0,0,1.0,0.75,0.25
PGD5_a2,6,5,2,1.0,0.5,0.5
PGD10_a2,6,10,2,1.0,0.5,0.5
PGD20_a2,6,20,2,1.0,0.5,0.5
FGSM,8,0,0,1.0,0.75,0.25
PGD5_a2,8,5,2,1.0,0.5,0.5
PGD10_a2,8,10,2,1.0,0.5,0.5
PGD20_a2,8,20,2,1.0,0.5,0.5
